interaction_id,lead_id,customer_id,advisor_id,channel,direction,interaction_at,duration_sec,notes
I0000001,L0000001,C000440,A0111,phone,outbound,2026-04-14T16:43:42,652,"Müşteri BMW 2 Serisi Gran Coupe ile ilgileniyor, 218i M Sport donanımı soruldu. Fiyat bilgisi verildi, düşünecek."
I0000002,L0000001,C000440,A0111,showroom_visit,inbound,2026-04-18T14:16:59,344,"Showroom ziyareti. Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000003,L0000001,C000440,A0111,showroom_visit,outbound,2026-04-23T14:17:55,607,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000004,L0000001,C000440,A0111,whatsapp,inbound,2026-05-01T18:37:27,,"Fiyatı yüksek buldu, bütçesini aşıyor. Şimdilik vazgeçti."
I0000005,L0000002,C000124,A0082,phone,outbound,2026-02-09T16:41:24,751,"Cevap yok, sesli mesaj bırakıldı. BMW X3 ilgisi web formundan."
I0000006,L0000002,C000124,A0082,whatsapp,outbound,16.02.2026 13:12:02,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000007,L0000002,C000124,A0082,showroom_visit,inbound,2026-02-19T12:56:04,443,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000008,L0000002,C000124,A0082,email,outbound,2026-02-21T14:42:41,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000009,L0000002,C000124,A0082,showroom_visit,inbound,2026-02-25T13:51:23,67,"Showroom ziyareti. Whatsapp üzerinden görsel ve fiyat listesi paylaşıldı. Okundu, cevap bekleniyor."
I0000010,L0000002,C000124,A0082,whatsapp,outbound,2026-03-02T13:02:15,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000011,L0000002,C000124,A0082,showroom_visit,outbound,2026-03-03T14:42:41,572,"Kredi onayı çıkmadı, alım ertelendi."
I0000012,L0000003,C000867,A0113,phone,outbound,2025-05-02T15:10:04,485,"İlk temas. Müşteri BMW iX1 ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000013,L0000003,C000867,A0113,phone,inbound,2025-07-16T12:50:10,685,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000014,L0000003,C000867,A0113,phone,outbound,2026-07-03T12:20:40,393,"Müşteri geri dönüş yaptı, xDrive30 M Sport yerine daha üst donanımı düşünüyor. Yeni fiyat çalışılacak."
I0000015,L0000003,C000867,A0113,email,outbound,2026-07-08T17:58:56,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000016,L0000004,C001156,A0082,showroom_visit,outbound,2026-03-20T12:38:11,432,"Ulaşıldı. MINI Cooper için showroom randevusu teklif edildi, uygun günü bildirecek."
I0000017,L0000004,C001156,A0082,whatsapp,outbound,2026-03-27T13:26:39,,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000018,L0000004,C001156,A0082,whatsapp,inbound,2026-04-03T16:38:58,,"Fiyat konusunda tereddütlü. Finansman seçenekleri anlatıldı, hesaplama gönderilecek."
I0000019,L0000004,C001156,A0082,sms,inbound,2026-04-14T13:25:04,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000020,L0000004,C001156,A0082,phone,inbound,2026-04-14T16:12:58,802,"Müşteri teklifi kabul etti, ödeme planı onaylandı. Plaka ve sigorta işlemleri başlatıldı."
I0000021,L0000005,C000992,A0021,email,outbound,2024-12-23T15:23:53,,"İlk temas. Müşteri Land Rover Defender ve rakip modelleri karşılaştırıyor, en geç ay sonuna karar verecek."
I0000022,L0000005,C000992,A0021,whatsapp,inbound,2024-12-25T11:00:39,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000023,L0000005,C000992,A0021,phone,inbound,2024-12-26T15:46:35,824,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000024,L0000005,C000992,A0021,phone,outbound,2024-12-30T14:10:01,84,"Alımı ileri bir tarihe erteledi, 6 ay sonra tekrar aranacak."
I0000025,L0000006,C001322,A0013,showroom_visit,outbound,2024-12-03T13:00:16,583,"Ulaşıldı. BMW X1 için showroom randevusu teklif edildi, uygun günü bildirecek."
I0000026,L0000006,C001322,A0013,phone,inbound,2024-12-07T09:50:14,315,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000027,L0000006,C001322,A0013,sms,inbound,2024-12-13T11:52:54,,"Randevu iptal edildi, iş seyahati. Ayın 15'inden sonra tekrar aranacak."
I0000028,L0000006,C001322,A0013,phone,outbound,2024-12-16T09:58:34,356,"Sözleşme imzalandı, kapora alındı. Teslimat planlandı. BMW X1 sDrive18i M Sport."
I0000029,L0000007,C003679,A0013,phone,outbound,2025-04-11T15:56:31,343,"Mevcut aracını takasa vermek istiyor, BMW iX1 için değerleme talep etti."
I0000030,L0000007,C003679,A0013,whatsapp,outbound,2025-04-21T16:05:17,,"Teklif iletildi, %7 iskonto ile. Müşteri eşiyle değerlendirecek."
I0000031,L0000007,C003679,A0013,email,inbound,2025-04-21T18:41:00,,"Teklif iletildi, %7 iskonto ile. Müşteri eşiyle değerlendirecek."
I0000032,L0000007,C003679,A0013,whatsapp,inbound,2025-04-23T12:38:13,,"Müşteri teklifi rakip bayi ile karşılaştırıyor, daha iyi fiyat bekliyor."
I0000033,L0000007,C003679,A0013,whatsapp,inbound,2025-04-28T15:23:01,,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000034,L0000007,C003679,A0013,email,outbound,2025-04-30T14:13:29,,"Alımı ileri bir tarihe erteledi, 6 ay sonra tekrar aranacak."
I0000035,L0000008,C001512,A0064,email,outbound,2025-06-16T10:26:12,,BMW iX3 için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000036,L0000008,C001512,A0064,showroom_visit,inbound,2025-06-23T15:25:27,176,"Showroom ziyareti. Test sürüşü sonrası görüşüldü, araçtan memnun kaldı. Renk ve donanım netleşti."
I0000037,L0000008,C001512,A0064,whatsapp,outbound,2025-06-28T14:13:16,,"Stokta istediği renk yok, 6-8 hafta teslim süresi söylendi. Alternatif renk önerildi."
I0000038,L0000008,C001512,A0064,email,outbound,2025-06-30T12:24:55,,"Müşteri acele etmiyor, yıl sonu kampanyalarını beklemek istiyor."
I0000039,L0000008,C001512,A0064,phone,outbound,2025-06-30T16:07:34,361,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000040,L0000008,C001512,A0064,whatsapp,outbound,2025-07-02T13:57:42,,"Şirket aracı olarak alınacak, kurumsal filo fiyatı talep edildi. Filo ekibiyle görüşülecek."
I0000041,L0000008,C001512,A0064,showroom_visit,inbound,04.07.2025 12:36:49,98,"Alımı ileri bir tarihe erteledi, 6 ay sonra tekrar aranacak."
I0000042,L0000009,C004573,A0042,whatsapp,outbound,2025-06-28T18:41:06,,"Mevcut aracını takasa vermek istiyor, BMW X2 için değerleme talep etti."
I0000043,L0000009,C004573,A0042,phone,inbound,2025-07-03T13:24:13,39,"Teklif iletildi, %1 iskonto ile. Müşteri eşiyle değerlendirecek."
I0000044,L0000009,C004573,A0042,phone,outbound,2025-07-04T16:29:38,707,Finansman için evrak listesi gönderildi. 48 ay vade seçeneğini soruyor.
I0000045,L0000009,C004573,A0042,email,outbound,2025-07-05T10:05:04,,"Whatsapp üzerinden görsel ve fiyat listesi paylaşıldı. Okundu, cevap bekleniyor."
I0000046,L0000009,C004573,A0042,whatsapp,outbound,2025-07-07T13:03:40,,"İstediği donanım/renk için teslim süresi uzun, beklemek istemedi."
I0000047,L0000010,C005083,A0032,whatsapp,outbound,2026-01-29T17:18:59,,MINI Countryman için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
I0000048,L0000010,C005083,A0032,whatsapp,outbound,2026-02-09T14:41:24,,"Fiyat konusunda tereddütlü. Finansman seçenekleri anlatıldı, hesaplama gönderilecek."
I0000049,L0000010,C005083,A0032,phone,inbound,2026-03-10T13:26:30,41,"3 kez arandı, ulaşılamadı. Kayıt kapatıldı."
I0000050,L0000011,C005276,A0133,showroom_visit,outbound,2026-08-08T15:27:25,539,MINI Cooper için bilgi talebi. Stok durumu ve teslim süresi soruldu. Katalog paylaşıldı.
